Player,Matches_Played,Total_Medals,Unique_Medals,Avg_Medals_Per_Match
AN1M4DOS,1,21,12,21.0
ANARCHY EMERALD,1,5,4,5.0
ANBU John,1,5,4,5.0
ANBU Kira,2,23,8,11.5
ANBU27,1,1,1,1.0
AND IT WAS RED,2,30,13,15.0
ANDJUSTICE4AII,3,28,12,9.33
ANDR01D54,1,3,3,3.0
ANDRE 4 LYFE,1,24,13,24.0
ANDRE DUB,1,8,5,8.0
ANDREDRG00,1,29,14,29.0
ANDREW720,2,31,6,15.5
ANDREWSdaBOSS,2,23,8,11.5
ANDY FR3SH,2,40,12,20.0
ANDYMARTS293,1,18,9,18.0
ANERFMAUL3R,1,9,6,9.0
ANG3LIC L3ADER,6,24,8,4.0
ANG3LUS MORT1S,2,13,12,6.5
ANGEL LLAMAS 48,1,3,3,3.0
ANGEL MEGAS,1,39,17,39.0
ANGEL OF GRIF,5,65,13,13.0
ANGEL45604,2,12,8,6.0
ANGELAANACONDAA,1,5,1,5.0
ANGELDEAD pro,2,27,6,13.5
ANGELL SSM16,1,4,3,4.0
ANGRY BuDS,1,13,4,13.0
ANGRY EWOK86,1,14,9,14.0
ANIKI 27,1,7,2,7.0
ANIME SUGOI mF,1,8,6,8.0
ANIMOSITY KC,3,45,22,15.0
ANN3 FR4NK,1,17,7,17.0
ANN4,1,5,4,5.0
ANNNNNNNNNNNNDY,2,72,22,36.0
ANOINTEDxXxONE,1,25,9,25.0
ANONYMOUS COW37,1,6,3,6.0
ANONYMOUS939,1,7,5,7.0
ANRALOGA,1,3,3,3.0
ANTIhero883,2,8,6,4.0
ANTOSCOOPES,1,4,4,4.0
ANTiicipation,3,14,5,4.67
ANTwontstop,1,8,7,8.0
ANU 4,2,32,12,16.0
ANVENYER,1,20,10,20.0
ANaiveNative,1,36,13,36.0
ANakedSkinSheep,1,16,8,16.0
AO Legendary,1,16,2,16.0
AOA Leonidas,1,12,7,12.0
AOC Chaotic,2,18,7,9.0
AOT Brandon,1,36,15,36.0
AOT9x,1,8,6,8.0
AP Crazy 26,3,13,4,4.33
AP Hannibal,1,15,3,15.0
AP LINGERING,1,39,14,39.0
AP QUICKSHOT,5,53,23,10.6
AP VooMy,1,7,3,7.0
AP x FIGHTING x,1,6,2,6.0
AP0C4LYPSE,1,9,5,9.0
APACHE PRIDE 69,1,25,9,25.0
APEX Grandpapa,1,1,1,1.0
APEX PR3DATOR94,1,2,2,2.0
APG RebOrn,16,59,14,3.69
APGs Lower Lip,1,28,14,28.0
APM Voltage,1,10,5,10.0
APN CaptainKris,2,17,5,8.5
APOCALYPSE JDH2,1,12,7,12.0
APOCALYPSE Sk,1,18,4,18.0
APOPTO5I5,7,66,12,9.43
APPLEBEAST3,2,9,6,4.5
APPLEPIE36,1,2,2,2.0
APPLEPIEPUDDIN2,1,14,5,14.0
APdjmaster100,1,3,3,3.0
APieProduction,2,18,8,9.0
APiece0fDust,1,16,4,16.0
APinchOfRedMan,1,2,2,2.0
APotatoInTheEye,1,10,4,10.0
APx iWaCHy,1,1,1,1.0
AQ Pinecone,1,20,10,20.0
AQUANTIK,2,55,24,27.5
AQUILES 2277,1,6,4,6.0
AR Dylsxeic,1,16,4,16.0
AR MARKS,1,3,2,3.0
AR to the Knee,1,10,9,10.0
AR0MA,1,11,6,11.0
AR36096,1,10,9,10.0
AR3A 51,2,29,7,14.5
ARANUS,1,3,3,3.0
ARBZ83,2,27,14,13.5
ARC 1796,1,4,3,4.0
ARC AdBlocker,2,30,14,15.0
ARC AsKickNick,1,14,8,14.0
ARC Flavor MSTR,2,18,7,9.0
ARC GuiltySpark,1,7,7,7.0
ARC Kenpachi,1,5,4,5.0
ARC Thor,1,12,6,12.0
